,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Perfect,Ed Sheeran,17,2018-01-01,2018-01-01
1,2,Rockstar,Post Malone ft. 21 Savage,14,2018-01-01,2018-01-01
2,3,Havana,Camila Cabello ft. Young Thug,19,2018-01-01,2018-01-01
3,4,Gucci Gang,Lil Pump,15,2018-01-01,2018-01-01
4,5,No Limit,G-Eazy ft. A$AP Rocky & Cardi B,15,2018-01-01,2018-01-01
5,6,Thunder,Imagine Dragons,34,2018-01-01,2018-01-01
6,7,MotorSport,"Migos, Nicki Minaj & Cardi B",8,2018-01-01,2018-01-01
7,8,Too Good At Goodbyes,Sam Smith,15,2018-01-01,2018-01-01
8,9,All I Want For Christmas Is You,Mariah Carey,23,2018-01-01,2018-01-01
9,10,Bad At Love,Halsey,16,2018-01-01,2018-01-01
10,11,River,Eminem ft. Ed Sheeran,1,2018-01-01,2018-01-01
11,12,Bodak Yellow (Money Moves),Cardi B,25,2018-01-01,2018-01-01
12,13,New Rules,Dua Lipa,21,2018-01-01,2018-01-01
13,14,Gummo,6ix9ine,6,2018-01-01,2018-01-01
14,15,Him & I,G-Eazy & Halsey,3,2018-01-01,2018-01-01
15,16,I Fall Apart,Post Malone,13,2018-01-01,2018-01-01
16,17,What Lovers Do,Maroon 5 ft. SZA,17,2018-01-01,2018-01-01
17,18,Let You Down,NF,10,2018-01-01,2018-01-01
18,19,I Get The Bag,Gucci Mane ft. Migos,18,2018-01-01,2018-01-01
19,20,Feel It Still,Portugal. The Man,27,2018-01-01,2018-01-01
20,21,Sorry Not Sorry,Demi Lovato,24,2018-01-01,2018-01-01
21,22,Love.,Kendrick Lamar ft. Zacari,26,2018-01-01,2018-01-01
22,23,Wolves,Selena Gomez X Marshmello,9,2018-01-01,2018-01-01
23,24,Shape Of You,Ed Sheeran,50,2018-01-01,2018-01-01
24,25,Mi Gente,J Balvin & Willy William ft. Beyonce,25,2018-01-01,2018-01-01
25,26,Plain Jane,A$AP Ferg ft. Nicki Minaj,13,2018-01-01,2018-01-01
26,27,The Way Life Goes,Lil Uzi Vert ft. Nicki Minaj,17,2018-01-01,2018-01-01
27,28,Meant To Be,Bebe Rexha & Florida Georgia Line,9,2018-01-01,2018-01-01
28,29,The Weekend,SZA,21,2018-01-01,2018-01-01
29,30,Rockin' Around The Christmas Tree,Brenda Lee,21,2018-01-01,2018-01-01
30,31,How Long,Charlie Puth,11,2018-01-01,2018-01-01
31,32,It's The Most Wonderful Time Of The Year,Andy Williams,4,2018-01-01,2018-01-01
32,33,Young Dumb & Broke,Khalid,23,2018-01-01,2018-01-01
33,34,1-800-273-8255,Logic ft. Alessia Cara & Khalid,34,2018-01-01,2018-01-01
34,35,Bank Account,21 Savage,24,2018-01-01,2018-01-01
35,36,Despacito,Luis Fonsi & Daddy Yankee ft. Justin Bieber,49,2018-01-01,2018-01-01
36,37,The Christmas Song (Merry Christmas To You),Nat King Cole,11,2018-01-01,2018-01-01
37,38,A Holly Jolly Christmas,Burl Ives,4,2018-01-01,2018-01-01
38,39,Silence,Marshmello ft. Khalid,19,2018-01-01,2018-01-01
39,40,Believer,Imagine Dragons,46,2018-01-01,2018-01-01
40,41,Sky Walker,Miguel ft. Travis Scott,13,2018-01-01,2018-01-01
41,42,End Game,Taylor Swift ft. Ed Sheeran & Future,5,2018-01-01,2018-01-01
42,43,Last Christmas,Wham!,4,2018-01-01,2018-01-01
43,44,Attention,Charlie Puth,35,2018-01-01,2018-01-01
44,45,Ric Flair Drip,Offset & Metro Boomin,8,2018-01-01,2018-01-01
45,46,Lemon,N*E*R*D & Rihanna,7,2018-01-01,2018-01-01
46,47,Unforgettable,French Montana ft. Swae Lee,37,2018-01-01,2018-01-01
47,48,That's What I Like,Bruno Mars,49,2018-01-01,2018-01-01
48,49,Feliz Navidad,Jose Feliciano,2,2018-01-01,2018-01-01
49,50,Jingle Bell Rock,Bobby Helms,20,2018-01-01,2018-01-01
50,51,Roll In Peace,Kodak Black ft. XXXTENTACION,18,2018-01-01,2018-01-01
51,52,Let Me Go,Hailee Steinfeld & Alesso ft. Florida Georgia Line & Watt,13,2018-01-01,2018-01-01
52,53,Pills And Automobiles,"Chris Brown ft. Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",15,2018-01-01,2018-01-01
53,54,Kooda,6ix9ine,3,2018-01-01,2018-01-01
54,55,Rubbin Off The Paint,YBN Nahmir,7,2018-01-01,2018-01-01
55,56,Like I Loved You,Brett Young,13,2018-01-01,2018-01-01
56,57,Lights Down Low,MAX ft. gnash,11,2018-01-01,2018-01-01
57,58,Candy Paint,Post Malone,9,2018-01-01,2018-01-01
58,59,...Ready For It?,Taylor Swift,16,2018-01-01,2018-01-01
